area,rooms,floor,year_of_construction,price
95,4,6,1993,203999
120,5,1,1970,288413
75,2,7,1961,193110
100,5,5,2009,198706
76,3,10,1950,201721
91,3,4,2001,212855
94,3,10,1979,219014
94,3,7,1955,234197
96,4,10,1977,234026
75,2,7,1992,110396
67,3,1,2007,125569
93,3,5,1952,224292
62,3,1,2013,107442
52,2,6,1986,92532
76,3,7,1975,126620
87,4,7,1967,256254
88,3,2,1962,238076
87,3,3,1979,161360
100,4,7,1996,249403
114,4,2,2014,250624
110,5,5,1955,387986
55,2,3,1993,82085
72,2,1,2011,108957
58,2,9,1999,125164
90,3,2,1991,183557
72,2,7,2020,122435
69,3,9,1992,140618
56,2,10,1985,96295
92,4,5,1977,170675
80,4,5,2004,197325
51,2,2,1955,146929
68,2,4,1956,177249
73,2,3,2022,122598
109,4,3,1964,283533
60,2,4,2019,111545
69,3,8,1997,155290
114,4,10,2017,200988
52,2,3,1968,97542
81,3,7,1963,225478
69,3,3,2005,121719
63,2,10,1998,117919
118,4,8,1979,222493
108,4,10,1997,223504
84,3,7,1970,196754
105,4,5,1959,274875
98,4,3,1992,214436
111,4,5,1982,235352
74,3,1,2004,116258
89,4,4,2019,182454
78,2,7,2001,115700
66,2,1,2000,124382
114,5,4,1963,325091
81,4,1,1979,159616
87,4,10,1992,209208
114,4,1,1993,223963
51,2,6,2022,88327
109,5,3,1987,217211
59,1,2,1959,110014
57,2,3,1976,118531
53,1,1,1994,92635
113,4,1,1961,323703
103,4,6,1999,182079
92,3,8,2000,205953
85,3,2,1953,284568
73,3,5,1954,221524
99,3,2,1971,223536
103,4,2,1952,313345
97,4,4,1959,274031
106,4,9,1997,200509
65,2,5,1965,117554
110,5,3,1987,218038
86,4,10,1972,168709
103,4,10,1998,192819
120,4,3,1972,249783
71,3,9,2004,116394
98,4,4,1967,291833
57,1,5,2021,79104
97,4,5,2021,193375
118,4,5,2019,270422
85,4,5,2022,183804
108,5,4,1961,338551
54,2,3,1962,140828
114,4,3,2021,219789
103,5,9,1980,222696
71,3,1,2006,119121
97,3,6,2013,172103
67,3,2,2006,121323
